酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
芝麻小羊肉,羊肉、芝麻、芹菜、紅辣椒、圓蔥、澱粉、蔥、姜、鹽、花椒粉、料酒、海鮮醬油、耗油、糖、味精、香油。
龍頭魚炒青菜,青菜，龍頭魚乾，十三香少許，胡椒碎少許，糖少許，雞精
椰香馕披薩,馕一個，椰漿，番茄一個，香菇4朵，菠菜一大棵，素臘腸1根，青椒半根，油浸番茄，玉米粒，豌豆粒，黑胡椒碎，鹽，羅勒，意大利綜合香料，番茄醬，水，糯米粉50g，鹽一丁點，醋一丁點，糖一丁點
芥末魚子醬山藥泥,山藥1根，淡奶油100毫升，鹽3克，魚子醬適量，芥末少許，日式淡口醬油少許
粉腸肉片浸枸杞,粉腸150克，豬肉片200克，枸杞葉300克，蒜頭（去皮）1粒，薑片30克，鹽，糖，生抽，魚露，礦泉水，花生油
一個人的團圓飯——丸子白菜湯,大白菜，蘑菇，貢丸，魚丸，千張
紅燜胡蘿蔔山藥牛肉,牛肉250g胡蘿蔔2小根山藥1根薑片少許
大蒜燒鯰魚,主料：鯰魚輔料：青紅辣椒調料：蒜瓣、干紅辣椒、花椒、姜、蔥、糖、醬油、醋、料酒、鹽、雞精、食用油、清湯
錫紙烤魚,魚，料酒，鹽，蔥，蒜，姜，西紅柿，青菜，蒸魚豉油，培根
卡仕達山頭吐司,卡仕達醬：蛋黃1個，糖10克，高粉15克，牛奶70克麵包原料：高粉280克，糖20克，鹽3克，酵母4克，奶粉10克，玉米油20克，水125克
草莓香蕉蛋糕,酸奶60毫升，切好的草莓125克，牛奶60毫升，搗爛的香蕉225克，橙汁15毫升，白糖200克，香草精3毫升，肉荳蔻粉1克，麵粉190克，烘焙粉(泡打粉)2克，烘焙蘇打2克
黑芝麻粉面包,A：高粉250g，二砂糖25G，鹽1/4小匙，酵母1小匙，水160g，奶粉10g，B：黃油10g，黑芝麻粉20G，C：蛋白適量，黑芝麻適量
暖身羊肉湯,羊肉500克，大白菜500克，胡蘿蔔一根，臘肉一小塊，枸杞少許，蔥15克，姜15克，胡椒粉少許，鹽少許
雪花丁香雞,淨仔公雞1只約750克，雞蛋清3個，蔥結、薑塊各15克，精鹽4克，醬油15克，白糖5克，調料包(內裝丁香5克，八角、肉桂、小茴香各2克)1個，菜籽油1500克，味精1克，濕澱粉10克。   
九層塔雞肉細麵條,細麵條250克，橄欖油1大匙，小洋蔥1個，切很細，蒜1頭，切碎，西紅柿丁2罐（400克/罐），無骨雞胸肉4塊，煮熟切丁，鮮九層塔1小把，切碎，鹽1/2茶匙，乾辣椒粉1/2茶匙（可選），切絲的帕馬森乾酪4湯匙
乾煸四角豆,四角豆薑片亞三素肉鬆花生粉辣椒粉適量雞精適量黑胡椒份適量（我喜歡這個多放點）香菜（點綴）
蒜香三文魚,三文魚，料酒，鹽，黑胡椒，橄欖油，蒜，水煮胡蘿蔔，芥藍
微波燒雞翅,雞翅中，醬油，白糖，薑片，蔥段，油，香油，料酒，胡椒粉，蠔油
