IngreNo,IngreName,IngreSeason,IngreCal,IngreSubCatNo
AA0001,牛肉,12,1.489867208,AA
AA0002,牛絞肉,12,2.626481482,AA
AA0003,牛肉絲,12,3,AA
AA0004,牛肉片,12,3,AA
AA0005,牛排,12,4.18,AA
AA0006,肩胛小排,12,2.4,AA
AA0007,牛里肌,12,3,AA
AA0008,牛肩肉,12,3.42,AA
AA0009,板腱肉,12,1,AA
AA0010,肋眼牛排,12,2.57,AA
AA0011,牛小排,12,3.886666667,AA
AA0012,牛肋排,12,4,AA
AA0013,丁骨牛排,12,2.166666667,AA
AA0014,紐約克牛排,12,2.98,AA
AA0015,沙朗牛排,12,2.639313906,AA
AA0016,腓力牛排,12,1.33,AA
AA0017,牛菲力,12,2.009166667,AA
AA0018,牛腰,12,2.98,AA
AA0019,牛後腿肉,12,1.315,AA
AA0020,牛臀肉,12,1.734747475,AA
AA0021,牛腩,12,3.3,AA
AA0022,雪花牛肉,12,3.66,AA
AA0023,牛五花肉,12,3.66,AA
AA0024,牛腱,12,1.15,AA
AB0001,牛鞭,12,1.17,AB
AB0002,牛腸,12,2.580645161,AB
AB0003,牛尾,12,1.5,AB
AB0004,牛舌,12,1.96,AB
AB0005,牛心,12,1.216507937,AB
AB0006,牛肝,12,1.548147541,AB
AB0007,牛骨,12,2,AB
AB0008,牛筋,12,1.225,AB
AB0009,牛肚,12,0.9388954635,AB
AB0010,牛雜,12,8.954444444,AB
AB0011,牛頭皮,12,6.93,AB
AB0012,牛脂,12,8.954444444,AB
AC0001,牛肉火腿,12,0.96,AC
AC0002,牛肉丸子,12,1.713383838,AC
BA0001,豬肉,12,3.668633561,BA
BA0002,肥豬肉,12,7.053333333,BA
BA0003,豬瘦肉,12,2.53,BA
BA0004,豬肉片,12,1.755,BA
BA0005,豬肉丁,12,1.755,BA
BA0006,豬肉塊,12,1.755,BA
BA0007,豬絞肉,12,2.549761905,BA
BA0008,豬肉絲,12,1.876666667,BA
BA0009,豬肉條,12,1.876666667,BA
BA0010,豬排,12,3.294413919,BA
BA0011,乳豬,12,3.294413919,BA
BA0012,松阪豬,12,1.4,BA
BA0013,豬梅花肉,12,3.355,BA
BA0014,梅花肉片,12,3.355,BA
BA0015,豬胛心肉,12,1.981428571,BA
BA0016,胛心排,12,1.981428571,BA
BA0017,豬軟骨排,12,2.86993295,BA
BA0018,前排肉,12,2.86993295,BA
BA0019,豬里肌,12,1.87,BA
BA0020,豬里肌肉片,12,1.87,BA
BA0021,二層肉,12,5.9,BA
BA0022,龍骨,12,2,BA
BA0023,豬里肌肉排,12,1.87,BA
BA0024,排骨,12,2,BA
BA0025,豬五花肉,12,3.9,BA
BA0026,五花豬肉片,12,3.9,BA
BA0027,子排,12,3.45,BA
BA0028,豬肋排,12,3.459904762,BA
