,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
1,﻿牛肉,605,AA0001,12,1.489867208,A
2,牛絞肉,245,AA0002,12,2.626481482,A
3,牛肉絲,92,AA0003,12,3,A
4,牛肉片,371,AA0004,12,3,A
5,牛排,161,AA0005,12,4.18,A
6,肩胛小排,7,AA0006,12,2.4,A
7,牛里肌,14,AA0007,12,3,A
8,牛肩肉,11,AA0008,12,3.42,A
9,板腱肉,3,AA0009,12,1,A
10,肋眼牛排,11,AA0010,12,2.57,A
11,牛小排,102,AA0011,12,3.886666667,A
12,牛肋排,145,AA0012,12,4,A
13,丁骨牛排,1,AA0013,12,2.166666667,A
14,紐約克牛排,9,AA0014,12,2.98,A
15,沙朗牛排,64,AA0015,12,2.639313906,A
16,腓力牛排,31,AA0016,12,1.33,A
17,牛菲力,97,AA0017,12,2.009166667,A
18,牛腰,2,AA0018,12,2.98,A
19,牛後腿肉,12,AA0019,12,1.315,A
20,牛臀肉,3,AA0020,12,1.734747475,A
21,牛腩,154,AA0021,12,3.3,A
22,雪花牛肉,10,AA0022,12,3.66,A
23,牛五花肉,39,AA0023,12,3.66,A
24,牛腱,157,AA0024,12,1.15,A
25,牛鞭,NA,AB0001,12,1.17,A
26,牛腸,1,AB0002,12,2.580645161,A
27,牛尾,12,AB0003,12,1.5,A
28,牛舌,7,AB0004,12,1.96,A
29,牛心,11,AB0005,12,1.216507937,A
30,牛肝,18,AB0006,12,1.548147541,A
31,牛骨,47,AB0007,12,2,A
32,牛筋,41,AB0008,12,1.225,A
33,牛肚,37,AB0009,12,0.9388954635,A
34,牛雜,15,AB0010,12,8.954444444,A
35,牛頭皮,1,AB0011,12,6.93,A
36,牛脂,22,AB0012,12,8.954444444,A
37,牛肉火腿,4,AC0001,12,0.96,A
38,牛肉丸子,8,AC0002,12,1.713383838,A
39,豬肉,526,BA0001,12,3.668633561,B
40,肥豬肉,30,BA0002,12,7.053333333,B
41,豬瘦肉,144,BA0003,12,2.53,B
42,豬肉片,644,BA0004,12,1.755,B
43,豬肉丁,53,BA0005,12,1.755,B
44,豬肉塊,6,BA0006,12,1.755,B
45,豬絞肉,2780,BA0007,12,2.549761905,B
46,豬肉絲,703,BA0008,12,1.876666667,B
47,豬肉條,43,BA0009,12,1.876666667,B
48,豬排,130,BA0010,12,3.294413919,B
49,乳豬,1,BA0011,12,3.294413919,B
50,松阪豬,146,BA0012,12,1.4,B
51,豬梅花肉,321,BA0013,12,3.355,B
52,梅花肉片,123,BA0014,12,3.355,B
53,豬胛心肉,77,BA0015,12,1.981428571,B
54,胛心排,10,BA0016,12,1.981428571,B
55,豬軟骨排,5,BA0017,12,2.86993295,B
56,前排肉,NA,BA0018,12,2.86993295,B
57,豬里肌,383,BA0019,12,1.87,B
58,豬里肌肉片,104,BA0020,12,1.87,B
59,二層肉,2,BA0021,12,5.9,B
60,龍骨,12,BA0022,12,2,B
61,豬里肌肉排,86,BA0023,12,1.87,B
62,排骨,848,BA0024,12,2,B
63,豬五花肉,864,BA0025,12,3.9,B
64,五花豬肉片,151,BA0026,12,3.9,B
65,子排,27,BA0027,12,3.45,B
66,豬肋排,200,BA0028,12,3.459904762,B
67,豬後腿肉,111,BA0029,12,1.993362901,B
68,豬腳,156,BA0030,12,2.23,B
69,蹄膀,61,BA0031,12,3.694468992,B
70,豬腱子肉,38,BA0032,12,1.55,B
71,嘴邊肉,16,BA0033,12,1.4,B
72,肝連肉,4,BA0034,12,2.53,B
73,虎掌,2,BB0001,12,1.59,B
74,豬蹄筋,23,BB0002,12,1.56,B
75,豬耳朵,29,BB0003,12,2.62,B
76,豬尾巴,21,BB0004,12,3.5175,B
77,豬皮,60,BB0005,12,3.63,B
78,豬骨,105,BB0006,12,2,B
79,白表,21,BB0008,12,8.9,B
80,網紗油,NA,BB0009,12,8.9,B
81,豬舌,13,BB0010,12,2.124691358,B
82,豬心,17,BB0011,12,1.288467041,B
83,豬肝,79,BB0012,12,1.19,B
84,豬腸,10,BB0013,12,2.370987654,B
85,豬腦,NA,BB0014,12,1.279015152,B
86,豬血,34,BB0015,12,0.3395484237,B
87,豬肺,2,BB0017,12,0.8771958763,B
88,豬肚,50,BB0018,12,1.4450297,B
89,腰子,30,BB0019,12,2.09,B
90,腰尺,NA,BB0020,12,2.09,B
91,豬小腸,14,BB0021,12,1.32,B
