,V2.y,V1.y,V1,V2.x
1,調味料,K,食鹽,24400
2,調味料,K,砂糖,23221
3,調味料,K,水,20359
4,調味料,K,蒜,13424
5,調味料,K,胡椒粉,13058
6,調味料,K,胡椒粉,13058
7,調味料,K,醬油,11910
8,蛋_豆_奶_豆製品類,H,雞蛋,11583
9,調味料,K,蔥,10795
10,調味料,K,薑,9539
11,調味料,K,米酒,9031
12,調味料,K,油,8243
13,調味料,K,麻油,7718
14,蔬菜類,G,洋蔥,7485
15,蛋_豆_奶_豆製品類,H,牛奶,6429
16,調味料,K,辣椒,6424
17,調味料,K,奶油,6099
18,蔬菜類,G,胡蘿蔔,5908
19,調味料,K,太白粉,5591
20,澱粉,J,低筋麵粉,5514
21,海菜菇蕈中藥,I,香菇,3861
22,蛋_豆_奶_豆製品類,H,起司,3767
23,調味料,K,橄欖油,3622
24,蛋_豆_奶_豆製品類,H,奶酪,3190
25,蛋_豆_奶_豆製品類,H,奶酪,3190
26,調味料,K,高湯,2950
27,調味料,K,雞精粉,2815
28,蛋_豆_奶_豆製品類,H,鮮奶油,2786
29,調味料,K,鮮奶油,2786
30,豬肉,B,豬絞肉,2780
31,調味料,K,酒,2576
32,調味料,K,香菜,2440
33,蔬菜類,G,甜椒,2402
34,蛋_豆_奶_豆製品類,H,蛋黃,2317
35,其他,L,檸檬汁,2305
36,澱粉,J,高筋麵粉,2294
37,調味料,K,酵母粉,2228
38,蔬菜類,G,馬鈴薯,2210
39,澱粉,J,中筋麵粉,2175
40,澱粉,J,飯,2146
41,調味料,K,九層塔,2072
42,調味料,K,味醂,2066
43,調味料,K,蕃茄醬,2034
44,澱粉,J,麵,2020
45,調味料,K,泡打粉,2012
46,蔬菜類,G,小黃瓜,1958
47,調味料,K,糖粉,1937
48,調味料,K,冰糖,1869
49,蔬菜類,G,高麗菜,1837
50,海鮮類,F,蝦,1822
51,蛋_豆_奶_豆製品類,H,蛋白,1801
52,澱粉,J,麵粉,1758
53,調味料,K,蜂蜜,1725
54,澱粉,J,米,1714
55,調味料,K,蠔油,1673
56,其他,L,巧克力,1598
57,澱粉,J,玉米粉,1539
58,調味料,K,玉米粉,1539
59,調味料,K,醬油膏,1508
60,海鮮類,F,蝦仁,1408
61,調味料,K,白醋,1392
62,調味料,K,咖哩,1367
63,蔬菜類,G,檸檬,1358
64,調味料,K,白芝麻,1351
65,蔬菜類,G,南瓜,1322
66,蔬菜類,G,南瓜,1322
67,蔬菜類,G,草莓,1317
68,調味料,K,烏醋,1290
69,澱粉,J,土司,1280
70,海菜菇蕈中藥,I,海苔,1276
71,蔬菜類,G,白蘿蔔,1244
72,蔬菜類,G,花椰菜,1209
73,蔬菜類,G,蘋果,1160
74,雞肉,C,雞胸肉,1124
75,調味料,K,紅糖,1112
76,蔬菜類,G,芹菜,1104
77,豬肉,B,火腿,1091
78,調味料,K,美乃滋,1088
79,蔬菜類,G,番薯,1085
80,海菜菇蕈中藥,I,洋菇,1082
81,其他,L,巧克力粉,1072
82,蛋_豆_奶_豆製品類,H,豆腐,1065
83,豬肉,B,培根,1063
84,雞肉,C,雞腿,1056
85,蛋_豆_奶_豆製品類,H,杏仁,1051
86,調味料,K,豆瓣醬,1041
87,海菜菇蕈中藥,I,枸杞,1035
88,調味料,K,地瓜粉,1034
89,調味料,K,辣椒醬,1028
90,海鮮類,F,蛤,1020
91,調味料,K,醋,1009
92,調味料,K,巴西里,1004
93,調味料,K,芝麻,978
94,蛋_豆_奶_豆製品類,H,蛋液,931
95,調味料,K,花椒,931
96,海鮮類,F,魚露,925
97,蔬菜類,G,小番茄,918
98,調味料,K,吉利丁　,916
99,海鮮類,F,蝦米,914
100,蔬菜類,G,美生菜,901
101,調味料,K,紅蔥頭,882
102,海鮮類,F,柴魚粉,881
103,豬肉,B,豬五花肉,864
104,澱粉,J,玉米粒,864
105,海菜菇蕈中藥,I,八角,862
106,海菜菇蕈中藥,I,杏鮑菇,860
107,豬肉,B,排骨,848
108,澱粉,J,義大利麵,828
109,蔬菜類,G,芋頭,819
110,蛋_豆_奶_豆製品類,H,奶粉,811
111,蛋_豆_奶_豆製品類,H,煉乳,809
112,雞肉,C,雞腿肉,808
113,調味料,K,香草精,792
114,豬肉,B,豬油,788
115,調味料,K,豬油,788
116,調味料,K,海鹽,777
117,調味料,K,義大利香料,772
118,調味料,K,辣椒粉,755
119,蔬菜類,G,鳳梨,746
120,調味料,K,冰塊,745
121,調味料,K,五香粉,743
122,海菜菇蕈中藥,I,海帶,743
123,調味料,K,椒鹽,725
124,澱粉,J,麵包粉,725
125,調味料,K,雞湯,718
126,蔬菜類,G,香蕉,712
127,豬肉,B,豬肉絲,703
128,蛋_豆_奶_豆製品類,H,味噌,700
129,蔬菜類,G,西洋芹菜,695
130,調味料,K,紹興酒,693
131,調味料,K,味精,688
132,海菜菇蕈中藥,I,紅棗,687
133,調味料,K,油蔥酥,672
134,海鮮類,F,干貝,661
135,蔬菜類,G,蘆筍,659
136,海菜菇蕈中藥,I,鴻喜菇,651
137,豬肉,B,豬肉片,644
138,蛋_豆_奶_豆製品類,H,優格,638
139,澱粉,J,玉米,632
140,海鮮類,F,花枝,631
