,RcpNo,Rcp_ingreCal,RcpName
0,I00001,1182.0168189,蒜味香菇雞炊飯
1,I00002,344.769414821,起司蛋捲
2,I00003,81.4970808,一人份美味蒸蛋
3,I00004,1127.49218144,麻油雞油飯
4,I00005,46.7322789504,嫩薑蒸鱈魚
5,I00006,382.279734299,鹹豬肉炒高麗菜
6,I00007,213.981011713,菠菜菇菇
7,I00008,118.997853899,醬爆鮮蔬
8,I00009,324.91568737,剝皮辣椒雞湯
9,I00010,250.100406516,XO醬涼拌金針菇
10,I00011,264.79299392,鮮當歸葉煎蛋
11,I00012,715.67354252,蘿蔔魚丸湯
12,I00013,360.685477916,辣味醬煮豆腐
13,I00014,545.643017843,豆皮海苔蛋捲
14,I00015,840.587485371,好采頭滷香菇
15,I00016,503.00128759,炸醬松阪豬
16,I00017,1445.11603242,炸醬蒸雞
17,I00018,303.388360058,菠菜炒牛肉
18,I00019,1439.26821246,古早味蜜芋頭
19,I00020,941.829844564,電鍋芋頭泥
20,I00021,742.569611586,簡易香蕉蛋糕
21,I00022,95.2136468988,野菇炊飯
22,I00023,615.67335386,高麗菜豬肉燒
23,I00024,675.212936737,沙嗲熱炒豆芽雞柳
24,I00025,1364.2285771,白酒檸檬奶油醬蛤蜊
25,I00026,1212.23953102,蜜核桃西芹蝦球
26,I00027,2590.82094251,春天的草莓果醬 DIY
27,I00028,37.51350424,蒜香雙色花椰
28,I00029,1835.78632981,蜜汁蘋果烤嫩豬小里肌
29,I00030,274.810009807,臘味鐵板豆腐
30,I00031,124.884154038,椒鹽小卷
31,I00032,326.476623943,法式炒蛋
32,I00033,166.623595876,奇異果蘋果多多
33,I00034,2426.63657065,墨魚炆五花腩
34,I00035,26.7390601122,烤全雞
35,I00036,653.1420057,義式鮮蝦節瓜
36,I00037,14.911822656,番茄去皮
37,I00038,1734.45513541,草莓起司乳酪蛋糕
38,I00039,715.60774726,泰式涼拌洋蔥粉絲
39,I00040,33.9348947294,咖哩炒香菇高麗菜
40,I00041,250.873672608,蕃茄炒蛋
41,I00042,95.87603175,孜然烤杏鮑菇
42,I00043,357.975114,韭菜肉末炒蛋
43,I00044,6570.14509418,香滷雞翅腿
44,I00045,931.748087838,中卷煮大根
45,I00046,643.967870369,蕃茄豬肉捲
46,I00047,1047.7009068,豬排丼
47,I00048,98.722906875,奶油煎干貝
48,I00049,169.664508471,油漬番茄乾
49,I00050,98.65000002,香煎干貝
50,I00051,655.90445755,香辣白酒淡菜
51,I00052,112.702421492,黑木耳焗小黃瓜
52,I00053,340.017691822,油漬香料野菇
53,I00054,375.187962081,芝麻蔥花淋雞
54,I00055,106.123995599,清蒸鱈魚
55,I00056,1196.68370405,高纖榛果巧克力燕麥棒
56,I00057,3292.54670463,叉燒肉
57,I00058,505.688017577,蕃茄濃湯
58,I00059,149.061454341,泰式松阪豬
59,I00060,481.30651342,紹興醉雞
60,I00061,219.58807328,醬香豬肉炒百菇
61,I00062,1733.19886682,土雞胸肉炒木耳
62,I00063,227.941677085,煙燻花枝
