食材名稱,同義詞
客家豆醬,客家米豆醬
砂糖,Sugar
梅子,青梅
牛肉片,牛五花薄片肉
油蔥萬用醬,油蔥萬用醬
雞米花,雞米花
紹興酒,鮮釀酒
味噌,味憎
鯖魚,鯖魚
柴魚粉,柴魚花
年糕,鹹甜粿
美人心,碧玉筍
牛小椒,牛小椒
丹麥小西餅,丹麥小西餅
牛肚,蜂巢胃
雞血,雞血
甘草,生甘草
煎餃皮,日式煎餃皮
抹茶醬,抹茶醬
豆豉,蔭鼓
杜卡,Dukkah
紅色色素,粉紅色紅食用色素
千層派,千層派
香料,香料束
魚肉,深海魚
油,蒜油
黃色色素,食用色素黃
西瓜,無子西瓜
蝦殼,蝦殼
枇杷葉,枇杷葉
蒜,蒜沫
清湯,清湯
奶水,三花淡奶
意麵,乾意粉
望羅子汁,望羅子汁
帕馬森起司,帕馬森cheese粉
起司,片狀芝士
茄汁炒飯,茄汁炒飯
蛋黃,蛋黃
豬排,腿排
芋莖,芋槐
馬告,馬告
海珊瑚,神草
帕馬森起司,Parmesan 起司
冷凍蔬菜,綜合蔬菜丁
三七,蔘三七
鹽滷石膏,鹽滷石膏
酥皮,千層派餅皮
柴魚,柴魚
馬鈴薯,馬鈴薯泥
人參果,人心果
沙薑,山奈粉
奶粉,全脂奶粉
手指餅乾,ladyfingers手指餅乾
赤宗魚,赤宗魚
火腿,長條形小火腿
玉竹,連竹
塔皮,塔皮
香精,香蘭精
蝦仁,蝦仁
棗泥,棗泥
年糕,小年糕
花生,蒜味辣花生
醬汁,海鮮用三杯醬汁
九孔,青口
辣椒,辣椒絲
芒果,金興芒果
綿白糖,綿白糖
茉莉花,乾燥茉莉花
柿餅,柿餅
亞麻子,胡麻子
蝦肉丁,蝦肉丁
芽苗菜,芽苗菜
紅魚,赤海雞
湯圓,芝麻湯圓
芒果,香水芒果
梨子,洋梨丁
洋菇,蘑菇丁
醬油膏,老甕精釀油膏
起司,低脂芝士
胡椒粉,粗粒黑楜椒
九層塔,Basil
香蕉,李林蕉
蜜餞,化核子蜜餞
欖仁醬,欖仁醬
椪餅,府城椪餅
焦糖,自製焦糖
水,一鍋水
金針菇,朴菇
排骨,帶肉豬骨
紫米粥,紫米粥
福菜,朴菜
紅茶,伯爵茶茶包
紹興酒,竹葉青
香腸,嘟嘟腸
龍眼,荔枝奴
左手香,到手香
麝香草,Thyme
老抽,陳年醬油
布丁,布蕾
左手香,排香草
半雞,放山古早雞半雞
砂糖,糖分
鮭魚,鮭魚肉
鼠尾草,奇異子
水,內鍋水
醋栗,黑醋栗
蝦油,龍蝦油
HP醬,棕醬
高湯,高 湯
決明子,草決明
貝果,比高
臭草,臭草
焦糖,焦糖
蛤,環文蛤
奇香醬,奇香醬
植物油,蔬菜油
胡蘿蔔,紅蘿波
食茱萸,紅刺?
胡蘿蔔,番蘿蔔
糯米,白秈糯米
九層塔,羅勒香料
豆瓣醬,豆辦醬
土虱魚,土虱魚
牡蠣,牡礪
蔬菜麵,菠菜麵
蛤,蛤厲
西洋香料,西洋香料
TABASCO,TABASCO醬
檳榔嫩莖,檳榔嫩莖
鬱金粉,薑黃粉
鴿肉,大乳鴿
花椰菜,花耶菜
太白粉,馬鈴薯澱粉
焗豆,茄汁焗豆
金針花,黃花菜
綠色色素,綠色食用色素
鴨肉條,番鴨
砂糖,icingsugar
優格,原味懮格
一陽齒,鳳凰蛋
臭草,荊芥七
一陽齒,一陽齒
梨子,水梨
比目魚,扁雪魚
滿福堡,滿福堡
香鬆,VITA香鬆
馬鈴薯,baby potato
人參果,吳鳳柿
靈芝,靈芝
鈕扣菇,鈕扣菇
枸杞,枸杞子
米粉,細粉
檸檬皮,檬檬皮
魚肉,海魚
芋角,芋角
龍眼,燕卵
銀粉,食用銀球
印度香料,格蘭馬沙拉香料
醬油,醬油
XO醬,Xo醬
肩胛小排,牛肩里肌排
義大利麵,卡通造型pasta
蒟蒻,蒟篛絲
牛腩,牛楠
焗烤起司,焗烤cheese
海蜇皮,海哲皮
印度Q餅,印度Q餅
叻沙Laksa調理包,叻沙Laksa調理包
南瓜,生南瓜皮絲
豆蔻,小荳寇
義大利甜醋,balsamicvinegar
蝦球,蝦球
沙姜,三柰
豆子,豆子
桑白皮,桑白皮
青粉,青粉
可爾必思,可爾必思乳酸菌發酵
鯷魚,鯷魚
色素,天然食用色素
花椰菜,綠花椰丁
白刀豆,洋刀豆
甜桃,加州白甜桃
胡麻醬,日式胡麻醬
杏仁,杏子
酸豆,酸子
黑豆,黑豆
鬆糕,指形小鬆糕
食鹽,粗鹽
福菜,覆菜
馬茲拉起司,瑪芝瑞拉cheese
肉鬆土司,肉鬆土司
羅漢果,神仙果
羊腱,羊腱子
三明治,7-ELEVEN光合農場三明治
小卷,小捲
雞肝,雞肝
蒜,蒜頭
鮮辣淋汁,鮮辣淋汁
桂花香料,桂花香料
雞肉,雞肉
雞蛋,Egg
醋,米醋
麵包,白面包
李子,翡翠李
餅乾,船型餅乾
海鮮塊,海鮮塊
酸豆,羅望子
九層塔,蘿勒蒜香粉
四物藥包,四物藥材
豬絞肉,絞 肉
天津丼,蟹肉炒蛋燴飯
孜然,孜然芹
豆蔻,小荳蔻子
酸辣醬,酸辣醬
麻竹筍,甜竹
魚香茄子,魚香茄子
蔥蛋,蛋蔥
當歸,當歸頭
鮮味炒手,鮮味炒手
愛玉子,愛玉子
酵母粉,速發乾酵母菌
菜頭粿,菜頭粿
高梁酒,38度金門高粱
紫色甘藍,包心萵苣
羊奶頭,台灣榕
味醂,味林
橄欖油,橄欖油
和風醬,和風醬
芒果,聖心芒果
科學麵,科學麵
泡芙,泡芙
肉排,肉排
蕃茄汁,蕃茄汁
九孔,貽貝
素肉,素肉
蔬菜汁,果菜汁
玉帶根,玉帶根
白菜芽,白菜芽
薑,生薑
奇雅籽,奇雅籽
荸薺,孛齊
烏魚,青頭仔
素肚,素肚
薑,嫩薑末
白芝麻,熟白芝麻
低筋麵粉,紫蘿蘭薄力粉
奶油起司,奶油乳酪
金粉,可食用金箔
泡打粉,發泡粉
養樂多,養樂多light
紅糖,黑糖
煎餃,煎餃
煎餅,煎餅
植物油,烏龍茶籽油
稜角絲瓜,角瓜
Sahnesteif,奶油黏稠劑
鴨賞,鴨賞
沿蔉粉,沿蔉粉
酸辣醬,泰式酸辣醬
全雞,母雞
果汁,果汁
樹子,破布子
蝦,阿根廷甜蝦
貝果,貝果
豆渣,豆渣
青星九刺鮨,紅鱠
黑豆粉,黑豆粉
生抽,淡醬油
帝王蟹,急凍熟帝皇蟹
食鹽,精鹽
甜豌豆,蓮花夾
丹貝,天貝
紅鱸,紅鱸
金線蓮茶包,金線蓮茶包
胡椒粉,黑楜椒粒
蘭姆酒,闌姆酒濃縮 Rum extract
