V2.y,V1
小黃瓜,rice flour
黃瓜,rice flour
黃瓜皮,rice flour
絲瓜,rice flour
稜角絲瓜,rice flour
冬瓜,rice flour
冬瓜皮,rice flour
苦瓜,rice flour
南瓜,rice flour
日本南瓜,rice flour
菊花南瓜,rice flour
西葫蘆,rice flour
葫蘆,rice flour
瓠瓜,rice flour
節瓜,rice flour
越瓜,rice flour
筍瓜,rice flour
佛手瓜,rice flour
酪梨,rice flour
蛇瓜,rice flour
青木瓜,rice flour
碟瓜,rice flour
番茄,rice flour
秋葵,rice flour
茄子,rice flour
水茄,rice flour
泰式小圓茄,rice flour
人參果,rice flour
番椒,rice flour
青龍辣椒,rice flour
甜椒,rice flour
角椒,rice flour
米椒,rice flour
翡翠椒,rice flour
小黃瓜,中筋麵粉
黃瓜,中筋麵粉
黃瓜皮,中筋麵粉
絲瓜,中筋麵粉
稜角絲瓜,中筋麵粉
冬瓜,中筋麵粉
冬瓜皮,中筋麵粉
苦瓜,中筋麵粉
南瓜,中筋麵粉
日本南瓜,中筋麵粉
菊花南瓜,中筋麵粉
西葫蘆,中筋麵粉
葫蘆,中筋麵粉
瓠瓜,中筋麵粉
節瓜,中筋麵粉
越瓜,中筋麵粉
筍瓜,中筋麵粉
佛手瓜,中筋麵粉
酪梨,中筋麵粉
蛇瓜,中筋麵粉
青木瓜,中筋麵粉
碟瓜,中筋麵粉
番茄,中筋麵粉
秋葵,中筋麵粉
茄子,中筋麵粉
水茄,中筋麵粉
泰式小圓茄,中筋麵粉
人參果,中筋麵粉
番椒,中筋麵粉
青龍辣椒,中筋麵粉
甜椒,中筋麵粉
角椒,中筋麵粉
米椒,中筋麵粉
翡翠椒,中筋麵粉
小黃瓜,九層塔
黃瓜,九層塔
黃瓜皮,九層塔
絲瓜,九層塔
稜角絲瓜,九層塔
冬瓜,九層塔
冬瓜皮,九層塔
苦瓜,九層塔
南瓜,九層塔
日本南瓜,九層塔
菊花南瓜,九層塔
西葫蘆,九層塔
葫蘆,九層塔
瓠瓜,九層塔
節瓜,九層塔
越瓜,九層塔
筍瓜,九層塔
佛手瓜,九層塔
酪梨,九層塔
蛇瓜,九層塔
青木瓜,九層塔
碟瓜,九層塔
番茄,九層塔
秋葵,九層塔
茄子,九層塔
水茄,九層塔
泰式小圓茄,九層塔
人參果,九層塔
番椒,九層塔
青龍辣椒,九層塔
甜椒,九層塔
角椒,九層塔
米椒,九層塔
翡翠椒,九層塔
小黃瓜,冰塊
黃瓜,冰塊
黃瓜皮,冰塊
絲瓜,冰塊
稜角絲瓜,冰塊
冬瓜,冰塊
冬瓜皮,冰塊
苦瓜,冰塊
南瓜,冰塊
日本南瓜,冰塊
菊花南瓜,冰塊
西葫蘆,冰塊
葫蘆,冰塊
瓠瓜,冰塊
節瓜,冰塊
越瓜,冰塊
筍瓜,冰塊
佛手瓜,冰塊
酪梨,冰塊
蛇瓜,冰塊
青木瓜,冰塊
碟瓜,冰塊
番茄,冰塊
秋葵,冰塊
茄子,冰塊
水茄,冰塊
泰式小圓茄,冰塊
人參果,冰塊
番椒,冰塊
青龍辣椒,冰塊
甜椒,冰塊
角椒,冰塊
米椒,冰塊
翡翠椒,冰塊
小黃瓜,冰糖
黃瓜,冰糖
黃瓜皮,冰糖
絲瓜,冰糖
稜角絲瓜,冰糖
冬瓜,冰糖
冬瓜皮,冰糖
苦瓜,冰糖
南瓜,冰糖
日本南瓜,冰糖
菊花南瓜,冰糖
西葫蘆,冰糖
葫蘆,冰糖
瓠瓜,冰糖
節瓜,冰糖
越瓜,冰糖
筍瓜,冰糖
佛手瓜,冰糖
酪梨,冰糖
蛇瓜,冰糖
青木瓜,冰糖
碟瓜,冰糖
番茄,冰糖
秋葵,冰糖
茄子,冰糖
水茄,冰糖
泰式小圓茄,冰糖
人參果,冰糖
番椒,冰糖
青龍辣椒,冰糖
甜椒,冰糖
角椒,冰糖
米椒,冰糖
翡翠椒,冰糖
小黃瓜,吉利丁　
黃瓜,吉利丁　
黃瓜皮,吉利丁　
絲瓜,吉利丁　
稜角絲瓜,吉利丁　
冬瓜,吉利丁　
冬瓜皮,吉利丁　
苦瓜,吉利丁　
