V1.x,V1.y,V3,V2
小匙,AA0001,15,﻿牛肉
磅,AA0001,455,﻿牛肉
g,AA0001,1,﻿牛肉
茶匙,AA0001,5,﻿牛肉
倇,AA0001,330,﻿牛肉
顆,AA0001,150,﻿牛肉
根,AA0001,5,﻿牛肉
公斤,AA0001,1000,﻿牛肉
少許,AA0001,150,﻿牛肉
oz,AA0001,28,﻿牛肉
片,AA0001,1,﻿牛肉
小包,AA0001,200,﻿牛肉
個,AA0001,1,﻿牛肉
CC,AA0001,1,﻿牛肉
百克,AA0001,150,﻿牛肉
盎司,AA0001,28,﻿牛肉
大匙,AA0001,15,﻿牛肉
人份,AA0001,250,﻿牛肉
條,AA0001,605,﻿牛肉
cc,AA0001,1,﻿牛肉
㏄,AA0001,1,﻿牛肉
克,AA0001,1,﻿牛肉
公克,AA0001,1,﻿牛肉
份,AA0001,15,﻿牛肉
元,AA0001,200,﻿牛肉
罐,AA0001,5,﻿牛肉
lb,AA0001,455,﻿牛肉
G,AA0001,1,﻿牛肉
杯,AA0001,15,﻿牛肉
c.c.,AA0001,1,﻿牛肉
斤,AA0001,605,﻿牛肉
克,AA0001,1,﻿牛肉
磅,AA0001,455,﻿牛肉
盒80元,AA0001,NA,﻿牛肉
大湯匙,AA0001,15,﻿牛肉
元,AA0001,200,﻿牛肉
數片,AA0001,150,﻿牛肉
盒,AA0001,605,﻿牛肉
適量,AA0001,1,﻿牛肉
塊,AA0001,455,﻿牛肉
kg,AA0001,1000,﻿牛肉
g,AA0001,1,﻿牛肉
碗,AA0001,230,﻿牛肉
ml,AA0001,1,﻿牛肉
鍋,AA0001,300,﻿牛肉
包,AA0001,200,﻿牛肉
片,AA0001,1,﻿牛肉
些許,AA0001,150,﻿牛肉
酌量,AA0001,200,﻿牛肉
量,AA0001,1,﻿牛肉
湯匙,AA0001,15,﻿牛肉
T,AA0001,15,﻿牛肉
磅,AA0002,455,牛絞肉
g,AA0002,1,牛絞肉
公斤,AA0002,1000,牛絞肉
ｇ,AA0002,1,牛絞肉
大匙,AA0002,15,牛絞肉
克,AA0002,1,牛絞肉
公克,AA0002,1,牛絞肉
份,AA0002,15,牛絞肉
元,AA0002,200,牛絞肉
G,AA0002,1,牛絞肉
斤,AA0002,605,牛絞肉
均可,AA0002,150,牛絞肉
碗,AA0002,230,牛絞肉
些,AA0002,150,牛絞肉
盒,AA0002,605,牛絞肉
適量,AA0002,1,牛絞肉
磅,AA0002,455,牛絞肉
g,AA0002,1,牛絞肉
包,AA0002,200,牛絞肉
隨意,AA0002,1,牛絞肉
盒,AA0002,605,牛絞肉
把,AA0003,200,牛肉絲
盒,AA0003,605,牛肉絲
g,AA0003,1,牛肉絲
g,AA0003,1,牛肉絲
杯,AA0003,15,牛肉絲
斤,AA0003,605,牛肉絲
G,AA0003,1,牛肉絲
份,AA0003,15,牛肉絲
適量,AA0003,1,牛肉絲
少許,AA0003,150,牛肉絲
克,AA0003,1,牛肉絲
公克,AA0003,1,牛肉絲
酌量,AA0003,200,牛肉絲
元,AA0003,200,牛肉絲
g,AA0004,1,牛肉片
公斤,AA0004,1000,牛肉片
盤225g,AA0004,200,牛肉片
少許,AA0004,150,牛肉片
個拳頭大,AA0004,300,牛肉片
小片,AA0004,200,牛肉片
數片,AA0004,150,牛肉片
小碗,AA0004,230,牛肉片
g,AA0004,1,牛肉片
人份,AA0004,250,牛肉片
克,AA0004,1,牛肉片
公克,AA0004,1,牛肉片
份,AA0004,15,牛肉片
元,AA0004,200,牛肉片
大片,AA0004,250,牛肉片
G,AA0004,1,牛肉片
碗量,AA0004,230,牛肉片
斤,AA0004,605,牛肉片
碗,AA0004,230,牛肉片
碟,AA0004,300,牛肉片
些,AA0004,150,牛肉片
盒,AA0004,605,牛肉片
適量,AA0004,1,牛肉片
g,AA0004,1,牛肉片
包,AA0004,200,牛肉片
片,AA0004,1,牛肉片
隨意,AA0004,1,牛肉片
盒,AA0004,605,牛肉片
小匙,AA0005,15,牛排
大塊,AA0005,250,牛排
瓶,AA0005,5,牛排
茶匙,AA0005,5,牛排
適量,AA0005,1,牛排
少許,AA0005,150,牛排
片,AA0005,1,牛排
客,AA0005,230,牛排
大匙,AA0005,15,牛排
人份,AA0005,250,牛排
㏄,AA0005,1,牛排
克,AA0005,1,牛排
公克,AA0005,1,牛排
份,AA0005,15,牛排
大片,AA0005,250,牛排
塊,AA0005,455,牛排
大匙,AA0005,15,牛排
罐,AA0005,5,牛排
盒,AA0005,605,牛排
塊,AA0005,455,牛排
kg,AA0005,1000,牛排
g,AA0005,1,牛排
小片,AA0005,200,牛排
片,AA0005,1,牛排
匙,AA0005,15,牛排
中匙,AA0005,5,牛排
點點,AA0005,5,牛排
片,AA0006,1,肩胛小排
公克,AA0006,1,肩胛小排
塊,AA0006,455,肩胛小排
g,AA0006,1,肩胛小排
片,AA0007,1,牛里肌
公克,AA0007,1,牛里肌
g,AA0007,1,牛里肌
大塊,AA0008,250,牛肩肉
盒,AA0008,605,牛肩肉
塊,AA0008,455,牛肩肉
g,AA0008,1,牛肩肉
斤,AA0008,605,牛肩肉
片,AA0008,1,牛肩肉
公克,AA0008,1,牛肩肉
份,AA0008,15,牛肩肉
公克,AA0009,1,板腱肉
塊,AA0009,455,板腱肉
g,AA0009,1,板腱肉
適量,AA0010,1,肋眼牛排
塊,AA0010,455,肋眼牛排
kg,AA0010,1000,肋眼牛排
g,AA0010,1,肋眼牛排
條,AA0010,605,肋眼牛排
片,AA0010,1,肋眼牛排
適量,AA0011,1,牛小排
盒,AA0011,605,牛小排
塊,AA0011,455,牛小排
kg,AA0011,1000,牛小排
g,AA0011,1,牛小排
人份,AA0011,250,牛小排
斤,AA0011,605,牛小排
盎司,AA0011,28,牛小排
條,AA0011,605,牛小排
包,AA0011,200,牛小排
片,AA0011,1,牛小排
克,AA0011,1,牛小排
片,AA0011,1,牛小排
公克,AA0011,1,牛小排
份,AA0011,15,牛小排
斤300克,AA0012,NA,牛肋排
塊,AA0012,455,牛肋排
kg,AA0012,1000,牛肋排
g,AA0012,1,牛肋排
G,AA0012,1,牛肋排
人份,AA0012,250,牛肋排
公斤,AA0012,1000,牛肋排
斤,AA0012,605,牛肋排
條,AA0012,605,牛肋排
包,AA0012,200,牛肋排
適量,AA0012,1,牛肋排
克,AA0012,1,牛肋排
數條,AA0012,250,牛肋排
公克,AA0012,1,牛肋排
份,AA0012,15,牛肋排
g,AA0012,1,牛肋排
g,AA0013,1,丁骨牛排
客,AA0014,230,紐約克牛排
塊,AA0014,455,紐約克牛排
g,AA0014,1,紐約克牛排
片,AA0014,1,紐約克牛排
片,AA0014,1,紐約克牛排
份,AA0014,15,紐約克牛排
盎司,AA0015,28,沙朗牛排
磅,AA0015,455,沙朗牛排
g,AA0015,1,沙朗牛排
塊.500g,AA0015,455,沙朗牛排
包,AA0015,200,沙朗牛排
片,AA0015,1,沙朗牛排
塊,AA0015,455,沙朗牛排
克,AA0015,1,沙朗牛排
片,AA0015,1,沙朗牛排
公克,AA0015,1,沙朗牛排
份,AA0015,15,沙朗牛排
