V1,V2
AA0001,牛肉
AA0002,牛絞肉
AA0003,牛肉絲
AA0004,牛肉片
AA0005,牛排
AA0006,肩胛小排
AA0007,牛里肌
AA0008,牛肩肉
AA0009,板腱肉
AA0010,肋眼牛排
AA0011,牛小排
AA0012,牛肋排
AA0013,丁骨牛排
AA0014,紐約克牛排
AA0015,沙朗牛排
AA0016,腓力牛排
AA0017,牛菲力
AA0018,牛腰
AA0019,牛後腿肉
AA0020,牛臀肉
AA0021,牛腩
AA0022,雪花牛肉
AA0023,牛五花肉
AA0024,牛腱
AB0001,牛鞭
AB0002,牛腸
AB0003,牛尾
AB0004,牛舌
AB0005,牛心
AB0006,牛肝
AB0007,牛骨
AB0008,牛筋
AB0009,牛肚
AB0010,牛雜
AB0011,牛頭皮
AB0012,牛脂
AC0001,牛肉火腿
AC0002,牛肉丸子
BA0001,豬肉
BA0002,肥豬肉
BA0003,豬瘦肉
BA0004,豬肉片
BA0005,豬肉丁
BA0006,豬肉塊
BA0007,豬絞肉
BA0008,豬肉絲
BA0009,豬肉條
BA0010,豬排
BA0011,乳豬
BA0012,松阪豬
BA0013,豬梅花肉
BA0014,梅花肉片
BA0015,豬胛心肉
BA0016,胛心排
BA0017,豬軟骨排
BA0018,前排肉
BA0019,豬里肌
BA0020,豬里肌肉片
BA0021,二層肉
BA0022,龍骨
BA0023,豬里肌肉排
BA0024,排骨
BA0025,豬五花肉
BA0026,五花豬肉片
BA0027,子排
BA0028,豬肋排
BA0029,豬後腿肉
BA0030,豬腳
BA0031,蹄膀
BA0032,豬腱子肉
BA0033,嘴邊肉
BA0034,肝連肉
BB0001,虎掌
BB0002,豬蹄筋
BB0003,豬耳朵
BB0004,豬尾巴
BB0005,豬皮
BB0006,豬骨
BB0007,豬油
BB0008,白表
BB0009,網紗油
BB0010,豬舌
BB0011,豬心
BB0012,豬肝
BB0013,豬腸
BB0014,豬腦
BB0015,豬血
BB0016,豬肝
BB0017,豬肺
BB0018,豬肚
BB0019,腰子
BB0020,腰尺
BB0021,豬小腸
BB0022,豬大腸
BB0023,粉腸
BB0024,生腸
BB0025,豬小肚
BB0026,豬大腸頭
BB0027,豬眼筋
BB0028,豬脆管
BC0001,貢丸
BC0002,肉鬆
BC0003,肉角
BC0004,鹹肉
BC0005,臘肉
BC0006,臘腸
BC0007,肝腸
BC0008,辣腸
BC0009,香腸
BC0010,法蘭克福腸
BC0011,義式肉腸
BC0012,午餐肉
BC0013,匈牙利辣腸
BC0014,西班牙辣腸
BC0015,起司腸
BC0016,培根
BC0017,火腿
BC0018,洋火腿
BC0019,熱狗
BC0020,膨皮
BC0021,肉丸
CA0001,雞肉
CA0002,雞丁
CA0003,雞柳
CA0004,雞絞肉
CA0005,雞蓉
CA0006,雞肉絲
CA0007,雞胸肉
CA0008,雞里肌肉
CA0009,全雞
CA0010,半雞
CA0011,放山雞
CA0012,珠雞
CA0013,水雞
CA0014,春雞
CA0015,烏骨雞肉
CA0016,雞腳
CA0017,雞腿
CA0018,雞腿肉
CA0019,雞腿排
CA0020,棒棒腿
CA0021,雞翅
CA0022,雞屁股
CA0023,雞皮
CB0001,雞肝
CB0002,雞心
CB0003,雞胗
CB0004,雞睪丸
CB0005,雞油
CB0006,雞骨
CB0007,雞腸
CB0008,雞血
DA0001,羊肉
DA0002,羊肉片
DA0003,羊肩肉
DA0004,羊腰脊肉
DA0005,羊里肌肉
DA0006,羊胸肉
DA0007,小羔羊排
DA0008,羊排
DA0009,羊腿
DA0010,羊腩
DA0011,羊腱
DA0012,羊肚
DB0001,羊睪丸
DB0002,羊鞭
DB0003,羊大骨
DB0004,羊架
EA0001,鵝肉
EA0002,鵝胸肉
EA0003,鵝腿
EA0004,鵝腿肉
EA0005,鵝掌
EA0006,鵝肝
EA0007,鵝腸
EA0008,鵝油
EA0009,鵝血
EA0010,鵝胗
EA0011,鵝頭
EA0012,鵝肉丸
EA0013,鵝心
EB0001,鴨
EB0002,菜鴨
EB0003,水鴨
EB0004,鴨肉條
EB0005,鴨肉
EB0006,鴨柳
EB0007,鴨胸
EB0008,鴨頭
EB0009,鴨脖子
EB0010,鴨舌頭
EB0011,鴨翅膀
EB0012,鴨腳
EB0013,鴨腿
EB0014,鴨腿肉
